The Fellowship of the Ring,J.R.R. Tolkien,fiction,16
The Two Towers,J.R.R. Tolkien,fiction,NULL
The Return of the King,J.R.R. Tolkien,fiction,9
Origin,Dan Brown,fiction,NULL
The Hobbit,J.R.R. Tolkien,fiction,17
Neverwhere,Neil Gaiman,non fiction,NULL
The Final Empire,Brandon Sanderson,fiction,NULL
A Game of Thrones,George R.R. Martin,fiction,NULL
A Clash of Kings,George R.R. Martin,fiction,NULL
A Storm of Swords,George R.R. Martin,fiction,2
A Feast for Crows,George R.R. Martin,fiction,NULL
A Dance with Dragons,George R.R. Martin,fiction,3
It,Stephen King,fiction,NULL
The Book Thief,Markus Zusak,fiction,11
Becoming,Michelle Obama,non fiction,NULL
An Absolutely Remarkable Thing,Hank Green,fiction,NULL
The Three-Body Problem,Cixin Liu,non fiction,NULL
11/22/63,Stephen King,fiction,NULL
Frankenstein,Mary Shelley,fiction,NULL
The Martian Chronicles,Ray Bradbury,fiction,NULL
A Beautifully Foolish Endeavor,Hank Green,non fiction,NULL
Harry Potter and the Philosopher's Stone,J.K. Rowling,fiction,NULL
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,fiction,20
Harry Potter and the Order of the Phoenix,J.K. Rowling,fiction,NULL
Harry Potter and the Half-Blood Prince,J.K. Rowling,fiction,NULL
Harry Potter and the Deathly Hallows,J.K. Rowling,fiction,NULL
The Da Vinci Code,Dan Brown,fiction,NULL
An Astronaut's Guide to Life on Earth,Chris Hadfield,non fiction,NULL
A Brief History of Time,Stephen Hawking,non fiction,19
The Hitchhiker's Guide to the Galaxy,Douglas Adams,fiction,6
Digital Fortress,Dan Brown,fiction,NULL
Dracula,Bram Stoker,fiction,NULL
